facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 4,390066,Badminton Court 4 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,0,0,True,False,True,True,True
Badminton Court 5,390067,Badminton Court 5 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,0,0,True,False,True,True,True
Badminton Court 6,390068,Badminton Court 6 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,0,0,True,False,True,True,True
Badminton Court 1,390069,Badminton Court 1 - Sunday  Feb 09 - 7:00 AM,2025-02-09 04:00:00,2025-02-09 05:00:00,1,0,True,False,True,True,True
Badminton Court 2,390070,Badminton Court 2 - Sunday  Feb 09 - 7:00 AM,2025-02-09 04:00:00,2025-02-09 05:00:00,1,0,True,False,True,True,True
Badminton Court 3,390071,Badminton Court 3 - Sunday  Feb 09 - 7:00 AM,2025-02-09 04:00:00,2025-02-09 05:00:00,1,0,True,False,True,True,True
Badminton Court 4,390072,Badminton Court 4 - Sunday  Feb 09 - 7:00 AM,2025-02-09 04:00:00,2025-02-09 05:00:00,1,0,True,False,True,True,True
Badminton Court 5,390073,Badminton Court 5 - Sunday  Feb 09 - 7:00 AM,2025-02-09 04:00:00,2025-02-09 05:00:00,1,0,True,False,True,True,True
Badminton Court 6,390074,Badminton Court 6 - Sunday  Feb 09 - 7:00 AM,2025-02-09 04:00:00,2025-02-09 05:00:00,1,0,True,False,True,True,True
Badminton Court 1,390075,Badminton Court 1 - Sunday  Feb 09 - 8:00 AM,2025-02-09 05:00:00,2025-02-09 06:00:00,1,0,True,False,True,True,True
Badminton Court 2,390076,Badminton Court 2 - Sunday  Feb 09 - 8:00 AM,2025-02-09 05:00:00,2025-02-09 06:00:00,1,0,True,False,True,True,True
Badminton Court 3,390077,Badminton Court 3 - Sunday  Feb 09 - 8:00 AM,2025-02-09 05:00:00,2025-02-09 06:00:00,1,0,True,False,True,True,True
Badminton Court 4,390078,Badminton Court 4 - Sunday  Feb 09 - 8:00 AM,2025-02-09 05:00:00,2025-02-09 06:00:00,1,0,True,False,True,True,True
